ticker,n_AB,d_correct,d_wrong,d_fc,h2_rule,g2_recovery,bucket,why,recoverable
FIVE,12,0,0,12,PASS,12/0,🟢 SAFE_SILLY_RECOVERABLE,H2 rule says 'safe' AND empirically G2 recovers all FC rows with zero collateral. Agent 1 confirmed mechanism on 5 sample tickers.,YES — 12 fail-closed rows recoverable to AUTO_OK_CORRECT
GBX,14,12,0,2,FAIL,0/1,⚪ D_MOSTLY_CORRECT,D handles this ticker well already. Small fail-closed tail. Recovery candidates don't materially help.,NO meaningful gain (2 FC of 14)
GIII,12,0,0,12,PASS,0/12,🔴 GENUINELY_IRREDUCIBLE,"XBRL year-of-start consistent with SAFE issuers, but EX-99.1 uses year-of-end. Mismatch invisible without EX-99.1 parse. (Agent 2)",NO under current locks
GME,12,0,0,12,PASS,12/0,🟢 SAFE_SILLY_RECOVERABLE,H2 rule says 'safe' AND empirically G2 recovers all FC rows with zero collateral. Agent 1 confirmed mechanism on 5 sample tickers.,YES — 12 fail-closed rows recoverable to AUTO_OK_CORRECT
KR,13,0,2,11,PASS,11/0,🟢 SAFE_FC_SLICE_PLUS_SEPARATE_D_WRONGS,"FC rows (11 of them) are silly-recoverable via H2-gated G2_ALL. Separate D-wrongs (2) are FYE-Jan/Feb Q4-to-Q1 inversion (Agent 3) — same convention class but inverted, not caught by current G2.",YES for 11 FC rows; D-wrongs need separate fix (soft-tier or new candidate)
KSS,12,0,0,12,PASS,12/0,🟢 SAFE_SILLY_RECOVERABLE,H2 rule says 'safe' AND empirically G2 recovers all FC rows with zero collateral. Agent 1 confirmed mechanism on 5 sample tickers.,YES — 12 fail-closed rows recoverable to AUTO_OK_CORRECT
LOW,12,0,0,12,PASS,12/0,🟢 SAFE_SILLY_RECOVERABLE,H2 rule says 'safe' AND empirically G2 recovers all FC rows with zero collateral. Agent 1 confirmed mechanism on 5 sample tickers.,YES — 12 fail-closed rows recoverable to AUTO_OK_CORRECT
LULU,12,0,0,12,PASS,12/0,🟢 SAFE_SILLY_RECOVERABLE,H2 rule says 'safe' AND empirically G2 recovers all FC rows with zero collateral. Agent 1 confirmed mechanism on 5 sample tickers.,YES — 12 fail-closed rows recoverable to AUTO_OK_CORRECT
NTAP,13,10,0,3,FAIL,0/2,🔵 H2_GATES_CORRECTLY_TO_FAIL_CLOSED,"Agent 5's H2 rule correctly identifies these as unsafe. They stay fail-closed (no recovery, no wrong-fire). Same as today's behavior. (Agent 2 + 5)",NO — but H2 prevents wrong-fires
NTNX,13,9,1,3,FAIL,0/2,🔵 H2_GATES_CORRECTLY_TO_FAIL_CLOSED,"Agent 5's H2 rule correctly identifies these as unsafe. They stay fail-closed (no recovery, no wrong-fire). Same as today's behavior. (Agent 2 + 5)",NO — but H2 prevents wrong-fires
OLLI,12,0,2,10,PASS,10/0,🟢 SAFE_FC_SLICE_PLUS_SEPARATE_D_WRONGS,"FC rows (10 of them) are silly-recoverable via H2-gated G2_ALL. Separate D-wrongs (2) are FYE-Jan/Feb Q4-to-Q1 inversion (Agent 3) — same convention class but inverted, not caught by current G2.",YES for 10 FC rows; D-wrongs need separate fix (soft-tier or new candidate)
OXM,12,0,0,12,PASS,12/0,🟢 SAFE_SILLY_RECOVERABLE,H2 rule says 'safe' AND empirically G2 recovers all FC rows with zero collateral. Agent 1 confirmed mechanism on 5 sample tickers.,YES — 12 fail-closed rows recoverable to AUTO_OK_CORRECT
PHM,14,12,0,2,PASS,0/0,⚪ D_MOSTLY_CORRECT,D handles this ticker well already. Small fail-closed tail. Recovery candidates don't materially help.,NO meaningful gain (2 FC of 14)
PHR,14,12,1,1,FAIL,0/0,🟠 D_WRONG_FIRE_ON_LATEST,Latest-per-ticker wrong-fire. Agent 4 class: F6_transcript_supplement. yes_via_filename_or_period_match.,YES via untested structural rule (period_of_report match + filename/empty-companion gates)
PINC,10,6,3,1,FAIL,0/0,🟠 D_WRONG_FIRE_ON_LATEST,Latest-per-ticker wrong-fire. Agent 4 class: F5_10Q_before_8K_inversion. yes_via_period_calendar_match.,YES via untested structural rule (period_of_report match + filename/empty-companion gates)
PLAY,12,0,1,11,PASS,11/0,🟢 SAFE_FC_SLICE_PLUS_SEPARATE_D_WRONGS,"FC rows (11 of them) are silly-recoverable via H2-gated G2_ALL. Separate D-wrongs (1) are FYE-Jan/Feb Q4-to-Q1 inversion (Agent 3) — same convention class but inverted, not caught by current G2.",YES for 11 FC rows; D-wrongs need separate fix (soft-tier or new candidate)
PLCE,7,0,0,7,PASS,7/0,🟡 H2_FALSE_NEGATIVE_INVESTIGATE,H2 rule says 'safe' but Goal 6a measurement showed some new wrongs. Agent 5 hypothesizes these are mostly Tier-B audit-truth-label errors (back-references like 'Q2 2022' inside Q2-2023 press releases). Verification needed.,PROBABLY YES if audit-truth-errors verified
PRU,13,12,0,1,PASS,0/0,🟠 D_WRONG_FIRE_ON_LATEST,Latest-per-ticker wrong-fire. Agent 4 class: F2_recast_supplement. yes_via_empty_companion.,YES via untested structural rule (period_of_report match + filename/empty-companion gates)
PVH,10,0,0,10,PASS,9/1,🟡 H2_FALSE_NEGATIVE_INVESTIGATE,H2 rule says 'safe' but Goal 6a measurement showed some new wrongs. Agent 5 hypothesizes these are mostly Tier-B audit-truth-label errors (back-references like 'Q2 2022' inside Q2-2023 press releases). Verification needed.,PROBABLY YES if audit-truth-errors verified
RH,14,0,2,12,PASS,9/0,🟢 SAFE_FC_SLICE_PLUS_SEPARATE_D_WRONGS,"FC rows (12 of them) are silly-recoverable via H2-gated G2_ALL. Separate D-wrongs (2) are FYE-Jan/Feb Q4-to-Q1 inversion (Agent 3) — same convention class but inverted, not caught by current G2.",YES for 9 FC rows; D-wrongs need separate fix (soft-tier or new candidate)
ROST,2,0,0,2,PASS,2/0,🟢 SAFE_SILLY_RECOVERABLE,H2 rule says 'safe' AND empirically G2 recovers all FC rows with zero collateral. Agent 1 confirmed mechanism on 5 sample tickers.,YES — 2 fail-closed rows recoverable to AUTO_OK_CORRECT
ULTA,12,0,0,12,PASS,12/0,🟢 SAFE_SILLY_RECOVERABLE,H2 rule says 'safe' AND empirically G2 recovers all FC rows with zero collateral. Agent 1 confirmed mechanism on 5 sample tickers.,YES — 12 fail-closed rows recoverable to AUTO_OK_CORRECT
WDAY,15,10,0,5,FAIL,0/4,🔵 H2_GATES_CORRECTLY_TO_FAIL_CLOSED,"Agent 5's H2 rule correctly identifies these as unsafe. They stay fail-closed (no recovery, no wrong-fire). Same as today's behavior. (Agent 2 + 5)",NO — but H2 prevents wrong-fires
WMS,11,6,0,5,FAIL,0/3,🔵 H2_GATES_CORRECTLY_TO_FAIL_CLOSED,"Agent 5's H2 rule correctly identifies these as unsafe. They stay fail-closed (no recovery, no wrong-fire). Same as today's behavior. (Agent 2 + 5)",NO — but H2 prevents wrong-fires
